"","long","lat","heuteVok","breitVok","wachsenVokStem","wachsenVokEnd","butter"
"338",9.2999,47.69243,"ei/ai","oa","k.A.","k.A.","Anke(n)/Butter"
"339",8.21364,47.69246,"ü","ei","V-short","a/o","Anke(n)/Butter"
"340",8.39385,47.69277,"ü","ei","V-short","a/o","Butter"
"341",9.40004,47.69278,"sonst","oa","V-short","a/o","Butter"
"342",7.40296,47.69288,"e","ei","V-short","a/o","Butter"
"343",7.29485,47.69387,"i/ie","ei","V-short","a/o","Butter"
"344",9.27244,47.69466,"eu","oa","V-short","a/o","Butter"
"345",8.25823,47.69472,"ü","ei","V-short","a/o","Butter"
"346",7.62775,47.69538,"ü","ei","V-short","a/o","Butter"
"347",8.99438,47.69562,"i/ie","oo","V-short","a/o","k.A."
"348",8.75499,47.69685,"ü","aa","V-short","a/o","Butter"
"349",7.30924,47.69692,"e","ei","V-short","a/o","Butter"
"350",8.69282,47.69702,"ü","aa","V-short","a/o","Butter"
"351",8.12543,47.69719,"ü","ei","V-short","a/o","Anke(n)/Butter"
"352",7.93271,47.69725,"ü","ei","V-short","a/o","Butter"
"353",9.06125,47.69789,"ü","oa","V-short","a/o","Butter"
"354",8.10774,47.69861,"ü","ei","V-short","a/o","Anke(n)"
"355",7.0716,47.69963,"i/ie","other","V-long","e","Anke(n)"
"356",8.07717,47.70011,"ü","ei","V-short","a/o","Anke(n)"
"357",7.28072,47.70069,"e","ei","V-long","a/o","Butter"
"358",7.35964,47.70073,"i/ie","ei","V-long","e","Butter"
"359",9.34074,47.70119,"ei/ai","oa","V-short","a/o","Butter"
"360",8.38631,47.70175,"sonst","ei","V-short","a/o","Anke(n)"
"361",8.01061,47.70213,"ü","ei","V-short","a/o","Anke(n)"
"362",8.34615,47.70245,"ü","ei","V-long","e","Butter"
"363",8.14547,47.70277,"ü","ei","V-short","a/o","Anke(n)"
"364",9.41014,47.70429,"ei/ai","oa","V-short","a/o","Butter"
"365",7.88873,47.70465,"ü","ei","V-short","a/o","Butter"
"366",7.22481,47.70563,"i/ie","ei","V-long","e","Butter"
"367",7.85301,47.70753,"ü","ei","V-short","a/o","Butter"
"368",8.92989,47.7082,"ü","oa","V-short","a/o","k.A."
"369",7.11319,47.70828,"e",NA,"V-short","a/o","Butter"
"370",8.95347,47.70847,"ü","oa","V-short","a/o","k.A."
"371",9.09929,47.7097,"i/ie","aa","V-short","a/o","Butter"
"372",7.53324,47.71013,"i/ie","ei","V-short","a/o","Butter"
"373",7.6103,47.71116,"ü","ei","V-short","a/o","Butter"
"374",7.82053,47.71127,"ü","ei","V-long","e","Butter"
"375",7.73306,47.71161,"ü","ei","V-short","a/o","Butter"
"376",9.26779,47.71169,"ei/ai","oa","V-short","a/o","Butter"
"377",8.12512,47.71178,"ü","ei","k.A.","k.A.","Butter"
"378",7.39812,47.71239,"i/ie","ei","V-long","e","Butter"
"379",7.50904,47.71353,"e","ei","V-short","a/o","Butter"
"380",9.17296,47.71413,"i/ie","oo","V-short","a/o","Butter"
