"","lfd","long","lat","hunde","type"
"395",395,7.2942,47.92837,"Hund","nd"
"396",396,7.17716,47.93851,"Hund","nd"
"397",397,7.23501,47.9292,"Hund","nd"
"398",398,7.23248,47.9323,"Hund","nd"
"399",399,7.23437,47.96595,"Hénd","nd"
"400",400,7.23437,47.96595,"Hend","nd"
"401",401,7.18638,47.92816,"Hund","nd"
"402",402,7.2903,47.98827,"Hund","nd"
"403",403,7.2903,47.98827,"Hond","nd"
"404",404,7.48828,47.97561,"Hend","nd"
"405",405,7.38657,47.95675,"Hend","nd"
"406",406,7.37872,47.94354,"Hund","nd"
"407",407,7.38146,47.94864,"Hund","nd"
"408",408,7.39795,47.9862,"Hund","nd"
"409",409,7.37872,47.94354,"Hund","nd"
"410",410,7.46359,47.94159,"Hind","nd"
"411",411,7.39442,47.96547,"Hind","nd"
"412",412,7.39442,47.96547,"Hünd","nd"
"413",413,7.53776,47.96942,"Hund","nd"
"414",414,7.6594,47.97942,"Hund ","nd"
"415",415,7.64962,47.93629,"Hend","nd"
"416",416,7.62702,47.93691,"Hïnd","nd"
"417",417,7.55885,47.98979,"Hend","nd"
"418",418,7.60042,47.97883,"Hünd ","nd"
"419",419,7.5622,47.9336,"Hend ","nd"
"420",420,7.53917,47.9288,"Hend ","nd"
"421",421,7.68958,47.93875,"Hi<U+0364>nd'","nd"
"422",422,7.68958,47.93875,"Hund","nd"
"423",423,7.814,47.94661,"Hund","nd"
"424",424,7.71217,47.93434,"Hünd","nd"
"425",425,7.74356,47.91979,"Hind","nd"
"426",426,7.72683,47.93837,"Hund","nd"
"427",427,7.75445,47.94133,"Hind","nd"
"428",428,7.76194,47.96231,"Hund, Hind","nd"
"429",429,7.76422,47.959,"Hind","nd"
"430",430,7.77981,47.95761,"Hind","nd"
"431",431,7.82976,47.95687,"Hund","nd"
"432",432,7.82532,47.96635,"Hünd","nd"
"433",433,7.8056,47.97934,"Hind","nd"
"434",434,7.82166,47.9895,"Hünd","nd"
"435",435,7.71599,47.98216,"Hind","nd"
"436",436,7.71585,48.00052,"Hund","nd"
"437",437,7.69883,47.96873,"Hund","nd"
"438",438,7.71392,47.95851,"Hund","nd"
"439",439,7.67114,47.98702,"Hend","nd"
"440",440,7.77924,47.91994,"Hund, Hünd","nd"
"441",441,7.77924,47.91994,"Hund","nd"
"442",442,7.80967,47.93307,"Hind","nd"
"443",443,7.67473,47.92531,"Hind","nd"
"444",444,7.90338,47.97778,"Hind","nd"
"445",445,7.90282,47.98715,"Hünd","nd"
"446",446,7.94267,48.00437,"Hinde","nd"
"447",447,7.96093,47.98418,"Hund","nd"
"448",448,7.95028,47.97747,"Hund, Hünd","nd"
"449",449,7.97957,47.97091,"Hund","nd"
"450",450,7.95261,47.96345,"Hind","nd"
"451",451,7.94506,47.93146,"Hund","nd"
"452",452,7.85911,47.93223,"Hund, Hind","nd"
"453",453,7.90831,47.96423,"Hind","nd"
"454",454,6.97525,47.91008,"Hind","nd"
"455",455,6.98613,47.89621,"Hunda","nd"
"456",456,6.98836,47.88519,"Hend","nd"
"457",457,6.97488,47.87245,"Hund","nd"
"458",458,6.95521,47.88255,"Hunde","nd"
"459",459,7.01113,47.88081,"Hunda","nd"
"460",460,7.00519,47.87122,"Hunda","nd"
"461",461,7.03487,47.86486,"Hund","nd"
"462",462,7.07073,47.84351,"Hunda","nd"
"463",463,7.03186,47.87365,"Hunda","nd"
"464",464,7.04865,47.86081,"Hunde","nd"
"465",465,7.10326,47.87359,"Hund","nd"
"466",466,7.15658,47.90483,"Hénd","nd"
"467",467,7.05832,47.88017,"Hunda","nd"
"468",468,7.17995,47.8995,"Hend","nd"
"469",469,7.17995,47.8995,"Hend","nd"
"470",470,7.21078,47.9095,"Hund","nd"
"471",471,7.22862,47.88613,"Hind","nd"
"472",472,7.20969,47.87406,"Hund","nd"
"473",473,7.21078,47.9095,"Hend","nd"
"474",474,7.21533,47.8484,"Hünd","nd"
"475",475,7.30181,47.83432,"Hund, Hünd","nd"
"476",476,7.25961,47.86006,"Hend","nd"
"477",477,7.30418,47.87789,"Hend","nd"
"478",478,7.28212,47.88747,"Hund, Hind","nd"
"479",479,7.25365,47.90288,"Hund","nd"
"480",480,7.29205,47.91022,"Hend","nd"
"481",481,7.21078,47.9095,"Hend","nd"
"482",482,7.21078,47.9095,"Hund, Hunda","nd"
"483",483,7.21078,47.9095,"Hund","nd"
"484",484,7.27197,47.86504,"Hund","nd"
"485",485,7.35432,47.86522,"Hund, Hend","nd"
"486",486,7.45274,47.86847,"Hundä<U+02D8>","nd"
"487",487,7.46704,47.8888,"Hund (Hind)","nd"
"488",488,7.4473,47.90935,"Hund","nd"
"489",489,7.35924,47.91132,"Hünd","nd"
"490",490,7.35308,47.89742,"Hund, Hënd","nd"
"491",491,7.24206,47.57224,"Hunde","nd"
"492",492,7.27676,47.58379,"Hunde","nd"
"493",493,7.31925,47.5857,"Hung","ng"
"494",494,7.30068,47.56354,"Heng","ng"
"495",495,7.1873,47.56163,"Hunda","nd"
"496",496,7.22032,47.53456,"Hunda","nd"
"497",497,7.28623,47.54132,"Hung, Hüng","ng"
"498",498,7.28623,47.54132,"Hend","nd"
"499",499,7.33206,47.54091,"Heng","ng"
"500",500,7.31605,47.55061,"Heng","ng"
"501",501,7.26824,47.56144,"Hunde","nd"
"502",502,7.16635,47.50105,"Hing","ng"
"503",503,7.21833,47.50939,"Hunda","nd"
"504",504,7.27085,47.5062,"Heing","ng"
"505",505,7.17622,47.53614,"Hunde","nd"
"506",506,7.24121,47.48531,"Hing, Hung","ng"
"507",507,7.25681,47.50213,"Hêng","ng"
"508",508,7.30044,47.50327,"Hunda","nd"
"509",509,7.30044,47.50327,"Hing","ng"
"510",510,7.30044,47.50327,"Hing","ng"
"511",511,7.2816,47.48759,"Cheng","ng"
"512",512,7.3091,47.47235,"Hung, Heng","ng"
"513",513,7.26347,47.46074,"Hung","ng"
"514",514,7.4175,47.57697,"Hund","nd"
"515",515,7.44645,47.56623,"Hung","ng"
"516",516,7.46216,47.56912,"Hong","ng"
"517",517,7.4473,47.55147,"Hend","nd"
"518",518,7.4473,47.55147,"Heng","ng"
"519",519,7.48036,47.55042,"Hing","ng"
"520",520,7.46966,47.52221,"Hünd","nd"
"521",521,7.47691,47.52383,"Hing","ng"
"522",522,7.3807,47.54728,"Hing","ng"
"523",523,7.34362,47.50479,"Hung","ng"
"524",524,7.3374,47.5271,"Hing","ng"
"525",525,7.3579,47.51688,"Hung","ng"
"526",526,7.38288,47.50419,"Heng","ng"
"527",527,7.34276,47.55541,"Hung","ng"
"528",528,7.3832,47.5856,"Hund, Hundä","nd"
"529",529,7.44726,47.58851,"Hung","ng"
"530",530,7.33509,47.48234,"Hing","ng"
"531",531,7.39411,47.48862,"Hung, Hing (Mehrzahl)","ng"
"532",532,7.39411,47.48862,"Hung, Hing (Mehrzahl)","ng"
"533",533,7.45821,47.49881,"Hung","ng"
"534",534,7.48218,47.4954,"Hung, Hing (Merzahl)","ng"
"535",535,7.3665,47.47487,"Hung, Heng","ng"
"536",536,7.38095,47.46702,"Hong, Heng","ng"
"537",537,7.40773,47.46164,"Hung","ng"
"538",538,7.44789,47.46978,"Hing, Hung (Einzahl)","ng"
"539",539,7.35848,47.4405,"Hung","ng"
"540",540,7.5211,47.57633,"Hend","nd"
"541",541,7.50989,47.55993,"Hun, Hün","nn"
"542",542,7.52344,47.56115,"Hend","nd"
"543",543,7.56351,47.58575,"Hind","nd"
"544",544,7.51526,47.52439,"Hung","ng"
"545",545,7.66607,47.55136,"Hünd","nd"
"546",546,7.54705,47.57853,"Hünd","nd"
"547",547,7.23995,47.6597,"Hünde","nd"
"548",548,7.28747,47.65547,"Hunda","nd"
"549",549,7.31001,47.64239,"k.A.","0"
"550",550,7.26432,47.63975,"Hunda","nd"
"551",551,7.23354,47.6401,"Hunda","nd"
"552",552,7.21307,47.61448,"Hond","nd"
"553",553,7.24009,47.62592,"Hend","nd"
"554",554,7.24009,47.62592,"Hund, Hind","nd"
"555",555,7.27817,47.62015,"Hund","nd"
"556",556,7.29244,47.62397,"Hund","nd"
"557",557,7.30232,47.62138,"Hunde","nd"
"558",558,7.32318,47.60479,"Hung","ng"
