"","utm_x","utm_y","l).Hunde","class","n_places","new"
"235",372438.558196082,5275615.80428742,"Hunde","nd",1,"nd"
"236",372496.44689122,5347837.42124067,"Hend, Hund","nd, nd",2,"nd"
"238",372553.656105096,5332889.78904875,"Hend","nd",1,"nd"
"239",372580.844705105,5309747.0681468,"Hund","nd",1,"nd"
"240",372587.245475153,5259042.55347262,"Hung, Heng","ng",1,"ng"
"241",372719.844251917,5286295.94673931,"Hunde","nd",1,"nd"
"242",372863.823928136,5313222.30079307,"Hund","nd",1,"nd"
"243",372915.920477443,5410439.73878412,"Hung","ng",1,"ng"
"244",372919.409163844,5299281.93619531,"Hund, Hünd","nd",1,"nd"
"245",372937.057269327,5355028.98468678,"Hund, Hind","nd",1,"nd"
"246",373042.397129198,5414351.56519312,"Hund","nd",1,"nd"
"247",373067.25825497,5277938.1140967,"k.A.","0",1,"0"
"248",373141.670773319,5283999.56532678,"Hunda","nd",1,"nd"
"249",373203.056084436,5304120.33554072,"Hend","nd",1,"nd"
"250",373227.975391613,5318898.53461117,"Hind","nd",1,"nd"
"251",373260.624302885,5319668.39660994,"1 Hund, viel Hend","nd",1,"nd"
"252",373267.247580914,5356668.51403878,"Hund","nd",1,"nd"
"253",373299.477490766,5267728.38960931,"Heng","ng",1,"ng"
"254",373502.128189294,5358294.61450324,"Hund, Hend","nd",1,"nd"
"255",373577.647700273,5336112.93643195,"Hend","nd",1,"nd"
"256",373624.696836275,5271622.83642884,"Hung","ng",1,"ng"
"257",373630.892087927,5322323.36517382,"Hund","nd",1,"nd"
"258",373775.528048467,5332437.93116611,"Hend","nd",1,"nd"
"259",373808.607209036,5324504.44725003,"Hund","nd",1,"nd"
"260",373810.53823151,5408799.08928,"Hund","nd",1,"nd"
"261",373817.449408808,5286668.93386391,"Hunda","nd",1,"nd"
"262",373958.994258015,5328089.43347195,"Hund ","nd",1,"nd"
"263",373966.045066999,5273737.98530149,"Hung","ng",1,"ng"
"264",373969.837713887,5418603.34008021,"Hund","nd",1,"nd"
"265",374036.562167936,5349266.54245838,"Hind","nd",1,"nd"
"266",374047.958677155,5343198.12437177,"Hend, Hund","nd, nd",2,"nd"
"268",374139.722275299,5327295.96945851,"Hund, Hend","nd",1,"nd"
"269",374233.781134156,5355764.08850956,"Hind","nd",1,"nd"
"270",374246.18741451,5375119.843131,"Hund","nd",1,"nd"
"271",374480.880779034,5266624.3946491,"Heng","ng",1,"ng"
"272",374569.380651024,5260110.48244611,"Hing","ng",1,"ng"
"273",374587.796296805,5418536.00754492,"Hunn","nn",1,"nn"
"274",374849.865437537,5265081.03299925,"Hing","ng",1,"ng"
"275",374865.874003339,5388237.26030277,"Ho(u)nd, Hend","nd, nd",2,"nd"
"277",374875.739388194,5337777.90860622,"Hend","nd",1,"nd"
"278",374894.214365494,5408031.82659233,"Hund","nd",1,"nd"
"279",374989.145786759,5354211.73534821,"Hend","nd",1,"nd"
"280",375001.63980389,5336632.04535983,"Hund","nd",1,"nd"
"281",375114.688921384,5334315.56880283,"Hend","nd",1,"nd"
"282",375261.009225792,5335224.18735161,"Hend","nd",1,"nd"
"283",375263.175088487,5386908.40953932,"Hund","nd",1,"nd"
"284",375265.182961076,5262591.66397971,"Hung","ng",1,"ng"
"285",375320.478800309,5268218.58026501,"Hung","ng",1,"ng"
"286",375343.151343667,5333770.17058172,"hend","nd",1,"nd"
"287",375356.72389715,5294328.78188852,"Hend","nd",1,"nd"
"288",375417.013642615,5319514.4914019,"Hind","nd",1,"nd"
"289",375423.035551298,5357292.46861485,"Hend","nd",1,"nd"
"290",375512.157660455,5339169.53663486,"Hend","nd",1,"nd"
"291",375715.940727258,5296611.54943685,"Hund","nd",1,"nd"
"292",375787.537186532,5355185.02240983,"Hund","nd",1,"nd"
"293",375861.15287438,5290031.65333837,"Hund, Hend","nd, nd",2,"nd"
"295",375861.16064123,5279671.29115033,"Hunda","nd",1,"nd"
"296",375951.507382107,5276648.46256879,"Hunde","nd",1,"nd"
"297",376014.982229777,5352695.85481543,"Hend","nd",1,"nd"
"298",376131.327999923,5392977.77815718,"Hond","nd",1,"nd"
"299",376155.953875178,5372388.73519093,"Hoend, Huend","nd, nd",2,"nd"
"301",376233.307208213,5255423.25428669,"Hung","ng",1,"ng"
"302",376281.215627757,5293410.56189476,"Hund, Hund","nd, nd",2,"nd"
"304",376300.163929174,5376204.29850815,"Hund","nd",1,"nd"
"305",376332.338234236,5273095.80884158,"Hung","ng",1,"ng"
"306",376368.925885043,5263912.42528931,"Hung","ng",1,"ng"
"307",376405.516469045,5362484.07634807,"Hend","nd",1,"nd"
"308",376514.704256147,5419178.01337904,"Hend","nd",1,"nd"
"309",376632.605089692,5353950.09079866,"Hend","nd",1,"nd"
"310",376791.222365197,5378767.91998372,"Hönd (Sg.), Hind (Pl.), Hejnd","nd, nd",2,"nd"
"312",376831.283697007,5413101.1096336,"Hund","nd",1,"nd"
"313",376861.485102079,5351677.78464223,"Hend","nd",1,"nd"
"314",376905.517714078,5306211.75264893,"Hund, Hënd","nd",1,"nd"
"315",376918.236548769,5259230.11046182,"Hung, Heng","ng",1,"ng"
"316",376921.930274095,5302631.10094238,"Hund, Hend","nd",1,"nd"
"317",376932.07194162,5284341.67003752,"Hünd, Hünda","nd",1,"nd"
"318",376935.331930131,5394345.73071413,"Hund","nd",1,"nd"
"319",377117.452613655,5291921.75961812,"Hunde, Hunde","nd, nd",2,"nd"
"321",377146.343999193,5297838.54614176,"Hi(e)nd","nd",1,"nd"
"322",377246.412559743,5391937.97586548,"Hund, Hind","nd",1,"nd"
"323",377349.034309843,5275773.86826149,"Hunde","nd",1,"nd"
"324",377349.066580208,5281159.63140687,"Hund","nd",1,"nd"
"325",377371.8880832,5272679.15317024,"Hunda","nd",1,"nd"
"326",377398.752841512,5307746.78757434,"Hünd","nd",1,"nd"
"327",377565.050596971,5377921.49210989,"Hünd, d'Hünd","nd",1,"nd"
"328",377700.887503642,5289765.7477755,"Hend","nd",1,"nd"
"329",377847.604788851,5397018.10236553,"Hund","nd",1,"nd"
"330",377899.829463926,5294082.25938053,"Hunda","nd",1,"nd"
"331",377961.442912462,5353604.49023817,"Hend","nd",1,"nd"
"332",377986.180973648,5342565.42990695,"Hund","nd",1,"nd"
"333",377987.455880727,5340504.9448218,"Hond, Hend","nd",1,"nd"
"334",377988.825998579,5258334.94474088,"Hong, Heng","ng",1,"ng"
"335",378043.127242727,5278945.81624187,"Hunda, (Hing)","nd, ng",1,"nd, ng"
"336",378126.451651737,5326707.22745243,"Hend, Hound, Hind, Hend, Hund (Hend= Mehrzahl), Huond","nd, nd, nd, nd, nd, nd",6,"nd"
"342",378130.105101709,5390842.26442364,"Hund, Hind","nd",1,"nd"
"343",378155.912990049,5267254.82594025,"Hing","ng",1,"ng"
"344",378220.227359546,5262462.69566858,"Heng","ng",1,"ng"
"345",378303.571254842,5421305.0102987,"Hinn","nn",1,"nn"
"346",378394.493901153,5341538.15961873,"Hend","nd",1,"nd"
"347",378432.738896297,5271509.54122759,"Hund, Hundä","nd",1,"nd"
"348",378509.788637963,5353966.36912887,"Hend","nd",1,"nd"
"349",378548.782546967,5295514.04006661,"Hund","nd",1,"nd"
"350",378607.997633878,5401611.09168557,"Hend","nd",1,"nd"
"351",378745.524825128,5417608.74774427,"Hund, Hun","nd, nn",1,"nd, nn"
"352",378750.361645341,5395715.19524628,"Hund","nd",1,"nd"
"353",378784.190792889,5334823.72505271,"Hend","nd",1,"nd"
"354",378929.538564702,5311296.95932826,"Hund, Hund","nd, nd",2,"nd"
"356",378939.103295246,5297270.3948495,"Hund(a)","nd",1,"nd"
"357",379030.137399655,5260714.82344926,"Hung, Hing (Mehrzahl), Hung, Hing (Mehrzahl)","ng, ng",2,"ng"
"359",379146.037107024,5311859.47857361,"Hund","nd",1,"nd"
"360",379173.607559313,5286451.59732648,"Hünde","nd",1,"nd"
"361",379199.946969311,5331468.00944461,"Hound","nd",1,"nd"
"362",379209.861773399,5392371.35969386,"Hend","nd",1,"nd"
"363",379270.484328014,5402905.66703978,"Hénd","nd",1,"nd"
"364",379395.092170957,5278750.86920805,"Hung, Hung","ng, ng",2,"ng"
"366",379403.712559224,5318305.30392472,"Heng","ng",1,"ng"
"367",379542.420094449,5403107.76350497,"Hend","nd",1,"nd"
"368",379546.436147001,5312752.83475529,"Hend","nd",1,"nd"
"369",379627.6122882,5282688.6048049,"Hunde","nd",1,"nd"
"370",379720.003417554,5414893.03498462,"Hund","nd",1,"nd"
"371",379845.767431473,5285577.08593446,"Hund","nd",1,"nd"
"372",379864.018238386,5289104.57938155,"Hunda, d'Hundr","nd, nd",2,"nd"
"374",379868.807896927,5399783.47893839,"Hund, Hund, Hind","nd, nd, nd",3,"nd"
"377",379958.672366432,5268898.54862562,"d Hing","ng",1,"ng"
"378",379994.668724283,5257695.37002083,"Hung","ng",1,"ng"
"379",380019.552284366,5391763.5087057,"Hend","nd",1,"nd"
"380",380053.329578592,5344441.9213713,"Hund, Hend","nd, nd",2,"nd"
"382",380152.651895319,5313709.75214093,"Hünd, Hind","nd, nd",2,"nd"
"384",380164.083779572,5283401.322599,"Hunda","nd",1,"nd"
"385",380344.621782497,5326569.32639513,"Hund","nd",1,"nd"
"386",380414.256549598,5282279.89397229,"Hind","nd",1,"nd"
"387",380464.007536726,5316008.22391584,"Hund","nd",1,"nd"
"388",380479.790845048,5358253.49155019,"Hend","nd",1,"nd"
"389",380545.227745506,5390435.65649347,"Hind","nd",1,"nd"
"390",380551.403485041,5338284.66778055,"Hend","nd",1,"nd"
"391",380686.56272369,5277433.43189297,"Hing, Heng","ng",1,"ng"
"392",380737.270309722,5373973.7571358,"Hend","nd",1,"nd"
"393",380776.038126103,5398242.81885063,"Hund","nd",1,"nd"
"394",380776.15634388,5398248.3765615,"Hunn","nn",1,"nn"
"395",380847.983253449,5345822.97088681,"Hund","nd",1,"nd"
"396",380858.320317309,5394322.23764353,"Hend, Hund","nd, nd",2,"nd"
"398",380992.137683694,5270497.28314989,"Hund","nd",1,"nd"
"399",381018.625891856,5273859.94948252,"a Hund, d' Hunde","nd",1,"nd"
"400",381030.826479982,5405312.26662469,"Hind","nd",1,"nd"
"401",381217.175862179,5347752.26984696,"Hund, Hend","nd",1,"nd"
"402",381273.32155267,5287354.45023805,"Hunda","nd",1,"nd"
